instr_Loop.thisRepN,instr_Loop.thisTrialN,instr_Loop.thisN,instr_Loop.thisIndex,instr_Loop.ran,instructionImage,time,age,sex (female/male),order,date,expName,psychopyVersion,OS,frameRate,struc_judge_respond.keys,struc_judge_respond.corr,struc_judge_respond.rt,dual_respond.keys,dual_respond.corr,dual_respond.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim1,stim2,isAnyChange,corrAns,selectBlock.thisRepN,selectBlock.thisTrialN,selectBlock.thisN,selectBlock.thisIndex,selectBlock.ran,condsFile,condsImage,remaining,connected,dimensionality
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.970315,9,1,0.50043,0,20,20,16,1,Stimuli/testStimuliSquare/6u_s_3_s_2D.png,Stimuli/testStimuliSquare/6u_s_3_s_2D.png,0,9,,,,,,,,,s,2D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.72107,1,1,0.53435,0,21,21,14,1,Stimuli/testStimuliSquare/6u_s_2_s_2D.png,Stimuli/testStimuliSquare/6u_s_2_s_2D.png,0,9,,,,,,,,,s,2D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,0,1.352735,9,1,1.12119,0,22,22,9,1,Stimuli/testStimuliSquare/6u_s_5_2D.png,Stimuli/testStimuliSquare/6u_d_5_2D.png,1,1,,,,,,,,,c,2D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.752355,1,1,1.2548,0,23,23,20,1,Stimuli/testStimuliSquare/6u_s_5_s_2D.png,Stimuli/testStimuliSquare/6u_s_5_s_2D.png,0,9,,,,,,,,,s,2D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,0,1,1,1,1,Stimuli/trialListSquares1.xlsx,Instructions/instr_18.png,Progress: 24 of 192 trials completed,,
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,0,0.81118,9,0,1.68528,0,0,0,1,1,Stimuli/practiceStimuliCube/practice2_s.png,Stimuli/practiceStimuliCube/practice2_d.png,1,1,,,,,,,,,,
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.686455,9,1,0.63525,0,1,1,2,1,Stimuli/practiceStimuliCube/practice3_s.png,Stimuli/practiceStimuliCube/practice3_s.png,0,9,,,,,,,,,,
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.70236,1,1,0.81813,0,2,2,7,1,Stimuli/practiceStimuliCube/practice4_s.png,Stimuli/practiceStimuliCube/practice4_s.png,0,9,,,,,,,,,,
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.772315,1,1,1.30127,0,3,3,0,1,Stimuli/practiceStimuliCube/practice1_s.png,Stimuli/practiceStimuliCube/practice1_s.png,0,9,,,,,,,,,,
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.82484,9,1,0.902615,0,4,4,4,1,Stimuli/practiceStimuliCube/practice1_s.png,Stimuli/practiceStimuliCube/practice1_d.png,1,1,,,,,,,,,,
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,0,0.95803,1,1,1.06809,0,5,5,3,1,Stimuli/practiceStimuliCube/practice4_s.png,Stimuli/practiceStimuliCube/practice4_d.png,1,1,,,,,,,,,,
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,1,1.303115,9,1,0.817885,0,6,6,5,1,Stimuli/practiceStimuliCube/practice2_s.png,Stimuli/practiceStimuliCube/practice2_s.png,0,9,,,,,,,,,,
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,,0,,1,1,1.550905,0,7,7,6,1,Stimuli/practiceStimuliCube/practice3_s.png,Stimuli/practiceStimuliCube/practice3_d.png,1,1,,,,,,,,,,
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,0,2,2,2,1,Stimuli/practiceListCubes.xlsx,Instructions/instr_practice_B.png,Practice trials completed,,
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.80302,1,1,1.203565,0,0,0,20,1,Stimuli/testStimuliCube/6u_s_23_s.png,Stimuli/testStimuliCube/6u_s_23_s.png,0,9,,,,,,,,,s,3D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.920075,9,1,0.551475,0,1,1,22,1,Stimuli/testStimuliCube/6u_s_24_s.png,Stimuli/testStimuliCube/6u_s_24_s.png,0,9,,,,,,,,,s,3D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.73645,9,1,0.484165,0,2,2,2,1,Stimuli/testStimuliCube/6u_s_20.png,Stimuli/testStimuliCube/6u_s_20.png,0,9,,,,,,,,,c,3D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.717925,1,1,1.301435,0,3,3,4,1,Stimuli/testStimuliCube/6u_s_21.png,Stimuli/testStimuliCube/6u_s_21.png,0,9,,,,,,,,,c,3D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.70283,9,1,0.868165,0,4,4,10,1,Stimuli/testStimuliCube/6u_s_24.png,Stimuli/testStimuliCube/6u_s_24.png,0,9,,,,,,,,,c,3D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.785585,1,1,0.86844,0,5,5,6,1,Stimuli/testStimuliCube/6u_s_22.png,Stimuli/testStimuliCube/6u_s_22.png,0,9,,,,,,,,,c,3D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.808035,9,0,1.550135,0,6,6,5,1,Stimuli/testStimuliCube/6u_s_21.png,Stimuli/testStimuliCube/6u_d_21.png,1,1,,,,,,,,,c,3D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,0,0.61156,1,0,0.61662,0,7,7,21,1,Stimuli/testStimuliCube/6u_s_23_s.png,Stimuli/testStimuliCube/6u_d_23_s.png,1,1,,,,,,,,,s,3D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.724755,1,1,1.000035,0,8,8,7,1,Stimuli/testStimuliCube/6u_s_22.png,Stimuli/testStimuliCube/6u_d_22.png,1,1,,,,,,,,,c,3D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.762765,1,1,1.989025,0,9,9,19,1,Stimuli/testStimuliCube/6u_s_22_s.png,Stimuli/testStimuliCube/6u_d_22_s.png,1,1,,,,,,,,,s,3D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,1,1.12233,1,1,1.05317,0,10,10,14,1,Stimuli/testStimuliCube/6u_s_20_s.png,Stimuli/testStimuliCube/6u_s_20_s.png,0,9,,,,,,,,,s,3D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.957555,9,1,2.07271,0,11,11,11,1,Stimuli/testStimuliCube/6u_s_24.png,Stimuli/testStimuliCube/6u_d_24.png,1,1,,,,,,,,,c,3D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.77881,9,1,0.51939,0,12,12,15,1,Stimuli/testStimuliCube/6u_s_20_s.png,Stimuli/testStimuliCube/6u_d_20_s.png,1,1,,,,,,,,,s,3D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,0,1.32543,9,1,1.85151,0,13,13,3,1,Stimuli/testStimuliCube/6u_s_20.png,Stimuli/testStimuliCube/6u_d_20.png,1,1,,,,,,,,,c,3D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,0,0.80983,1,1,3.03347,0,14,14,9,1,Stimuli/testStimuliCube/6u_s_23.png,Stimuli/testStimuliCube/6u_d_23.png,1,1,,,,,,,,,c,3D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,1,0,1.15376,9,1,0.850715,0,15,15,16,1,Stimuli/testStimuliCube/6u_s_21_s.png,Stimuli/testStimuliCube/6u_s_21_s.png,0,9,,,,,,,,,s,3D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.571045,9,1,0.568705,0,16,16,0,1,Stimuli/testStimuliCube/6u_s_19.png,Stimuli/testStimuliCube/6u_s_19.png,0,9,,,,,,,,,c,3D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.620885,9,1,0.686135,0,17,17,18,1,Stimuli/testStimuliCube/6u_s_22_s.png,Stimuli/testStimuliCube/6u_s_22_s.png,0,9,,,,,,,,,s,3D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.70691,9,0,0.63491,0,18,18,12,1,Stimuli/testStimuliCube/6u_s_19_s.png,Stimuli/testStimuliCube/6u_s_19_s.png,0,9,,,,,,,,,s,3D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.837165,9,1,0.65117,0,19,19,8,1,Stimuli/testStimuliCube/6u_s_23.png,Stimuli/testStimuliCube/6u_s_23.png,0,9,,,,,,,,,c,3D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1.04251,1,1,1.574065,0,20,20,1,1,Stimuli/testStimuliCube/6u_s_19.png,Stimuli/testStimuliCube/6u_d_19.png,1,1,,,,,,,,,c,3D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.91357,1,1,1.87102,0,21,21,17,1,Stimuli/testStimuliCube/6u_s_21_s.png,Stimuli/testStimuliCube/6u_d_21_s.png,1,1,,,,,,,,,s,3D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.89543,1,1,1.60193,0,22,22,13,1,Stimuli/testStimuliCube/6u_s_19_s.png,Stimuli/testStimuliCube/6u_d_19_s.png,1,1,,,,,,,,,s,3D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.82945,9,1,0.685065,0,23,23,23,1,Stimuli/testStimuliCube/6u_s_24_s.png,Stimuli/testStimuliCube/6u_d_24_s.png,1,1,,,,,,,,,s,3D
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,0,3,3,3,1,Stimuli/trialListCubes4.xlsx,Instructions/instr_19.png,Progress: 48 of 192 trials completed,,
,,,,,,,18,female,A,2020-05-11_17h13.44.075,Remembering_Displays,2020.1.2,MacIntel,60,9,1,1.05396,9,1,0.49914,0,0,0,20,1,Stimuli/testStimuliSquare/6u_s_11_s_2D.png,Stimuli/testStimuliSquare/6u_s_11_s_2D.png,0,9,,,,,,,,,s,2D
