subject;age;sex;handiness;eyesight;colorVision;expertise;session;stimulusSet;trialNumber;change;rotation;mirror;objectID;dimensionality;nUnits;compression;border;iv9;answer;timeout;accuracy;time;dualTaskString;dualTaskResponse;dualTaskAcc;nameImage1;nameImage2;timeStamp;nPracticeRuns;setOrder;setName
106;18;m;r;c;n;n;1;series1c;1;0;0;0;9;0;6;nc;0;0;9;0;1;0.976362599999;LBZQ;-99;-99;6u_s_10_2D.png;6u_s_10_2D.png;736.6952981;1;2;2D
106;18;m;r;c;n;n;1;series1c;2;1;0;0;15;0;6;nc;1;0;9;0;0;0.8593987;TVBP;-99;-99;6u_s_16_b_2D.png;6u_d_16_b_2D.png;743.5352469;1;2;2D
106;18;m;r;c;n;n;1;series1c;3;1;0;0;3;0;6;nc;0;0;1;0;1;0.7299232;DPMK;-99;-99;6u_s_4_2D.png;6u_d_4_2D.png;750.2753449;1;2;2D
106;18;m;r;c;n;n;1;series1c;4;1;0;0;22;0;6;nc;1;0;9;0;0;1.1179672;BJSK;BJSK;1;6u_s_23_b_2D.png;6u_d_23_b_2D.png;760.5021362;1;2;2D
106;18;m;r;c;n;n;1;series1c;5;1;0;0;2;0;6;nc;1;0;1;0;1;1.2391129;XBGJ;-99;-99;6u_s_3_b_2D.png;6u_d_3_b_2D.png;767.6753422;1;2;2D
106;18;m;r;c;n;n;1;series1c;6;1;0;0;8;0;6;nc;0;0;1;0;1;1.4681663;QPJL;QPJL;1;6u_s_9_2D.png;6u_d_9_2D.png;780.2544831;1;2;2D
106;18;m;r;c;n;n;1;series1c;7;0;0;0;9;0;6;nc;1;0;9;0;1;1.1439929;ZTMW;-99;-99;6u_s_10_b_2D.png;6u_s_10_b_2D.png;787.2943694;1;2;2D
106;18;m;r;c;n;n;1;series1c;8;1;0;0;22;0;6;nc;0;0;9;0;0;0.9285126;QDZF;QDZF;1;6u_s_23_2D.png;6u_d_23_2D.png;803.9774242;1;2;2D
106;18;m;r;c;n;n;1;series1c;9;1;0;0;20;0;6;nc;1;0;9;0;0;1.1854;SFXQ;SFXQ;1;6u_s_21_b_2D.png;6u_d_21_b_2D.png;815.7052112;1;2;2D
106;18;m;r;c;n;n;1;series1c;10;1;0;0;11;0;6;nc;0;0;1;0;1;0.972296;KHPZ;-99;-99;6u_s_12_2D.png;6u_d_12_2D.png;822.5952645;1;2;2D
106;18;m;r;c;n;n;1;series1c;11;0;0;0;15;0;6;nc;1;0;9;0;1;1.7301524;ZHNV;ZHNV;1;6u_s_16_b_2D.png;6u_s_16_b_2D.png;834.974183;1;2;2D
106;18;m;r;c;n;n;1;series1c;12;0;0;0;12;0;6;nc;1;0;9;0;1;1.2110614;PVSZ;PVSZ;1;6u_s_13_b_2D.png;6u_s_13_b_2D.png;845.9848456;1;2;2D
106;18;m;r;c;n;n;1;series1c;13;0;0;0;8;0;6;nc;1;0;9;0;1;1.0163771;PKGX;-99;-99;6u_s_9_b_2D.png;6u_s_9_b_2D.png;852.8412683;1;2;2D
106;18;m;r;c;n;n;1;series1c;14;0;0;0;21;0;6;nc;1;0;9;0;1;0.9155949;XMLY;XMLY;1;6u_s_22_b_2D.png;6u_s_22_b_2D.png;864.853163;1;2;2D
106;18;m;r;c;n;n;1;series1c;15;0;0;0;14;0;6;nc;0;0;1;0;0;1.3206637;HPGW;HGPW;0;6u_s_15_2D.png;6u_s_15_2D.png;879.8176971;1;2;2D
106;18;m;r;c;n;n;1;series1c;16;1;0;0;13;0;6;nc;1;0;9;0;0;1.1422116;RMKX;-99;-99;6u_s_14_b_2D.png;6u_d_14_b_2D.png;886.8242945;1;2;2D
106;18;m;r;c;n;n;1;series1c;17;0;0;0;7;0;6;nc;1;0;9;0;1;1.0813886;WVCX;-99;-99;6u_s_8_b_2D.png;6u_s_8_b_2D.png;894.1146925;1;2;2D
106;18;m;r;c;n;n;1;series1c;18;0;0;0;7;0;6;nc;0;0;9;0;1;1.0907685;RXHL;-99;-99;6u_s_8_2D.png;6u_s_8_2D.png;901.3216265;1;2;2D
106;18;m;r;c;n;n;1;series1c;19;1;0;0;9;0;6;nc;1;0;1;0;1;1.1846517;CKQW;-99;-99;6u_s_10_b_2D.png;6u_d_10_b_2D.png;908.5122223;1;2;2D
106;18;m;r;c;n;n;1;series1c;20;0;0;0;18;0;6;nc;1;0;9;0;1;0.936471699999;VYRK;-99;-99;6u_s_19_b_2D.png;6u_s_19_b_2D.png;915.3021283;1;2;2D
106;18;m;r;c;n;n;1;series1c;21;1;0;0;15;0;6;nc;0;0;9;0;0;1.0435531;YTJZ;-99;-99;6u_s_16_2D.png;6u_d_16_2D.png;922.1752555;1;2;2D
106;18;m;r;c;n;n;1;series1c;22;0;0;0;4;0;6;nc;1;0;9;0;1;1.2291223;GPLZ;-99;-99;6u_s_5_b_2D.png;6u_s_5_b_2D.png;929.3488034;1;2;2D
106;18;m;r;c;n;n;1;series1c;23;1;0;0;1;0;6;nc;0;0;9;0;0;0.902835300001;CNBJ;-99;-99;6u_s_2_2D.png;6u_d_2_2D.png;936.2224312;1;2;2D
106;18;m;r;c;n;n;1;series1c;0;1;0;0;13;0;6;nc;1;0;1;0;1;1.2605101;QZJR;QZJL;0;6u_s_14_b.png;6u_d_14_b.png;952.5382179;1;2;3D
106;18;m;r;c;n;n;1;series1c;1;0;0;0;17;0;6;nc;1;0;9;0;1;0.860388500001;TYCQ;-99;-99;6u_s_18_b.png;6u_s_18_b.png;959.2945982;1;2;3D
106;18;m;r;c;n;n;1;series1c;2;0;0;0;0;0;6;nc;0;0;9;0;1;1.2812702;YKTC;-99;-99;6u_s_1.png;6u_s_1.png;966.6351179;1;2;3D
106;18;m;r;c;n;n;1;series1c;3;0;0;0;16;0;6;nc;0;0;9;0;1;1.1873714;FPRL;-99;-99;6u_s_17.png;6u_s_17.png;973.725269;1;2;3D
106;18;m;r;c;n;n;1;series1c;4;0;0;0;13;0;6;nc;0;0;1;0;0;1.0965125;DSQC;DSQC;1;6u_s_14.png;6u_s_14.png;984.418861;1;2;3D
106;18;m;r;c;n;n;1;series1c;5;1;0;0;23;0;6;nc;0;0;1;0;1;1.0194852;NTYW;-99;-99;6u_s_24.png;6u_d_24.png;991.3423607;1;2;3D
106;18;m;r;c;n;n;1;series1c;6;0;0;0;1;0;6;nc;0;0;9;0;1;0.93065;TSLN;TSLN;1;6u_s_2.png;6u_s_2.png;1001.7026138;1;2;3D
106;18;m;r;c;n;n;1;series1c;7;1;0;0;21;0;6;nc;1;0;9;0;0;1.1107469;DZCN;-99;-99;6u_s_22_b.png;6u_d_22_b.png;1008.7425615;1;2;3D
106;18;m;r;c;n;n;1;series1c;8;1;0;0;15;0;6;nc;1;0;1;0;1;1.3447141;FJRT;-99;-99;6u_s_16_b.png;6u_d_16_b.png;1015.9664959;1;2;3D
106;18;m;r;c;n;n;1;series1c;9;1;0;0;9;0;6;nc;1;0;1;0;1;0.956838300001;VJDX;-99;-99;6u_s_10_b.png;6u_d_10_b.png;1022.9063255;1;2;3D
106;18;m;r;c;n;n;1;series1c;10;0;0;0;23;0;6;nc;0;0;9;0;1;2.682129;FNSG;-99;-99;6u_s_24.png;6u_s_24.png;1031.5313307;1;2;3D
106;18;m;r;c;n;n;1;series1c;11;1;0;0;3;0;6;nc;0;0;1;0;1;0.7145043;MJPW;MJPW;1;6u_s_4.png;6u_d_4.png;1041.7914182;1;2;3D
106;18;m;r;c;n;n;1;series1c;12;1;0;0;16;0;6;nc;0;0;1;0;1;0.723871100001;ZMDN;ZMDN;1;6u_s_17.png;6u_d_17.png;1052.5519358;1;2;3D
106;18;m;r;c;n;n;1;series1c;13;1;0;0;14;0;6;nc;0;0;9;0;0;0.911276999999;ZBJM;-99;-99;6u_s_15.png;6u_d_15.png;1059.5418635;1;2;3D
106;18;m;r;c;n;n;1;series1c;14;0;0;0;0;0;6;nc;1;0;9;0;1;1.5275609;YDKG;-99;-99;6u_s_1_b.png;6u_s_1_b.png;1066.9991017;1;2;3D
106;18;m;r;c;n;n;1;series1c;15;1;0;0;15;0;6;nc;0;0;1;0;1;0.9748574;ZDVP;-99;-99;6u_s_16.png;6u_d_16.png;1073.8890969;1;2;3D
106;18;m;r;c;n;n;1;series1c;16;1;0;0;22;0;6;nc;1;0;1;0;1;2.1813946;KYJB;-99;-99;6u_s_23_b.png;6u_d_23_b.png;1081.9638298;1;2;3D
106;18;m;r;c;n;n;1;series1c;17;0;0;0;2;0;6;nc;0;0;9;0;1;1.0116856;FTNV;-99;-99;6u_s_3.png;6u_s_3.png;1088.8536388;1;2;3D
106;18;m;r;c;n;n;1;series1c;18;0;0;0;17;0;6;nc;0;0;9;0;1;1.4074675;MFLV;-99;-99;6u_s_18.png;6u_s_18.png;1096.1942951;1;2;3D
106;18;m;r;c;n;n;1;series1c;19;1;0;0;22;0;6;nc;0;0;1;0;1;0.893889500001;KYZP;-99;-99;6u_s_23.png;6u_d_23.png;1102.9506512;1;2;3D
106;18;m;r;c;n;n;1;series1c;20;0;0;0;18;0;6;nc;1;0;1;0;0;1.0189293;WBTD;-99;-99;6u_s_19_b.png;6u_s_19_b.png;1109.8072793;1;2;3D
106;18;m;r;c;n;n;1;series1c;21;1;0;0;11;0;6;nc;1;0;1;0;1;0.705638099998;GPYX;-99;-99;6u_s_12_b.png;6u_d_12_b.png;1121.6354527;1;2;3D
106;18;m;r;c;n;n;1;series1c;22;1;0;0;19;0;6;nc;1;0;9;0;0;1.3335407;NRWC;-99;-99;6u_s_20_b.png;6u_d_20_b.png;1128.8257583;1;2;3D
106;18;m;r;c;n;n;1;series1c;23;0;0;0;19;0;6;nc;1;0;9;0;1;1.1788657;YTCZ;-99;-99;6u_s_20_b.png;6u_s_20_b.png;1135.9492861;1;2;3D
106;18;m;r;c;n;n;1;series1c;0;1;0;0;6;0;6;nc;1;0;9;0;0;1.6582305;ZLMW;-99;-99;6u_s_7_b_2D.png;6u_d_7_b_2D.png;1163.2257901;1;2;2D
106;18;m;r;c;n;n;1;series1c;1;1;0;0;7;0;6;nc;1;0;9;0;0;0.9081771;VWRB;VWRB;1;6u_s_8_b_2D.png;6u_d_8_b_2D.png;1174.4201963;1;2;2D
106;18;m;r;c;n;n;1;series1c;2;1;0;0;5;0;6;nc;1;0;1;0;1;1.1159204;JVYN;-99;-99;6u_s_6_b_2D.png;6u_d_6_b_2D.png;1181.6103007;1;2;2D
106;18;m;r;c;n;n;1;series1c;3;0;0;0;17;0;6;nc;0;0;1;0;0;1.1495981;PQCJ;-99;-99;6u_s_18_2D.png;6u_s_18_2D.png;1188.8339568;1;2;2D
106;18;m;r;c;n;n;1;series1c;4;0;0;0;6;0;6;nc;1;0;9;0;1;0.9144034;YHLJ;-99;-99;6u_s_7_b_2D.png;6u_s_7_b_2D.png;1196.0912459;1;2;2D
106;18;m;r;c;n;n;1;series1c;5;1;0;0;21;0;6;nc;0;0;1;0;1;2.6456451;PSJX;-99;-99;6u_s_22_2D.png;6u_d_22_2D.png;1204.7827454;1;2;2D
106;18;m;r;c;n;n;1;series1c;6;1;0;0;4;0;6;nc;0;0;1;0;1;0.8727449;SDVG;-99;-99;6u_s_5_2D.png;6u_d_5_2D.png;1211.5393418;1;2;2D
106;18;m;r;c;n;n;1;series1c;7;1;0;0;17;0;6;nc;0;0;1;0;1;1.625865;VHQS;-99;-99;6u_s_18_2D.png;6u_d_18_2D.png;1220.0809171;1;2;2D
106;18;m;r;c;n;n;1;series1c;8;1;0;0;4;0;6;nc;1;0;1;0;1;0.9085325;GPKT;-99;-99;6u_s_5_b_2D.png;6u_d_5_b_2D.png;1226.9209532;1;2;2D
106;18;m;r;c;n;n;1;series1c;9;1;0;0;0;0;6;nc;1;0;1;0;1;0.7519357;RVYT;-99;-99;6u_s_1_b_2D.png;6u_d_1_b_2D.png;1233.527318;1;2;2D
106;18;m;r;c;n;n;1;series1c;10;1;0;0;21;0;6;nc;1;0;9;0;0;1.6083786;TGFN;-99;-99;6u_s_22_b_2D.png;6u_d_22_b_2D.png;1241.0178049;1;2;2D
106;18;m;r;c;n;n;1;series1c;11;1;0;0;0;0;6;nc;0;0;1;0;1;1.0181068;CFRW;CFRW;1;6u_s_1_2D.png;6u_d_1_2D.png;1252.5126339;1;2;2D
106;18;m;r;c;n;n;1;series1c;12;1;0;0;14;0;6;nc;0;0;9;0;0;0.928509399999;ZNLC;-99;-99;6u_s_15_2D.png;6u_d_15_2D.png;1259.2855401;1;2;2D
