instr_Loop.thisRepN,instr_Loop.thisTrialN,instr_Loop.thisN,instr_Loop.thisIndex,instr_Loop.ran,instructionImage,time,age,sex (female/male),order,date,expName,psychopyVersion,OS,frameRate,struc_judge_respond.keys,struc_judge_respond.corr,struc_judge_respond.rt,dual_respond.keys,dual_respond.corr,dual_respond.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim1,stim2,isAnyChange,corrAns,selectBlock.thisRepN,selectBlock.thisTrialN,selectBlock.thisN,selectBlock.thisIndex,selectBlock.ran,condsFile,condsImage,remaining
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.78644,1,1,1.063635,0,7,7,1,1,Stimuli/practiceStimuliCube/practice2_s.png,Stimuli/practiceStimuliCube/practice2_d.png,1,1,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,0,2,2,2,1,Stimuli/practiceListCubes.xlsx,Instructions/instr_practice_B.png,Practice trials completed
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,1,0,0.988335,9,1,0.736335,0,0,0,0,1,Stimuli/testStimuliCube/6u_s_19.png,Stimuli/testStimuliCube/6u_s_19.png,0,9,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.595275,1,1,0.917055,0,1,1,7,1,Stimuli/testStimuliCube/6u_s_22.png,Stimuli/testStimuliCube/6u_d_22.png,1,1,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.844195,9,1,0.590545,0,2,2,16,1,Stimuli/testStimuliCube/6u_s_21_s.png,Stimuli/testStimuliCube/6u_s_21_s.png,0,9,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.722905,9,1,0.645345,0,3,3,22,1,Stimuli/testStimuliCube/6u_s_24_s.png,Stimuli/testStimuliCube/6u_s_24_s.png,0,9,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,,0,,1,1,1.59653,0,4,4,20,1,Stimuli/testStimuliCube/6u_s_23_s.png,Stimuli/testStimuliCube/6u_s_23_s.png,0,9,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.83778,1,1,0.87013,0,5,5,8,1,Stimuli/testStimuliCube/6u_s_23.png,Stimuli/testStimuliCube/6u_s_23.png,0,9,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.734185,1,1,0.74668,0,6,6,5,1,Stimuli/testStimuliCube/6u_s_21.png,Stimuli/testStimuliCube/6u_d_21.png,1,1,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.96737,1,1,1.253995,0,7,7,15,1,Stimuli/testStimuliCube/6u_s_20_s.png,Stimuli/testStimuliCube/6u_d_20_s.png,1,1,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,1,0,1.092355,9,1,1.14272,0,8,8,6,1,Stimuli/testStimuliCube/6u_s_22.png,Stimuli/testStimuliCube/6u_s_22.png,0,9,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.689945,9,1,0.60249,0,9,9,19,1,Stimuli/testStimuliCube/6u_s_22_s.png,Stimuli/testStimuliCube/6u_d_22_s.png,1,1,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,9,0,0.60092,1,1,1.421345,0,10,10,21,1,Stimuli/testStimuliCube/6u_s_23_s.png,Stimuli/testStimuliCube/6u_d_23_s.png,1,1,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.743715,1,1,1.010045,0,11,11,1,1,Stimuli/testStimuliCube/6u_s_19.png,Stimuli/testStimuliCube/6u_d_19.png,1,1,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,1,0,0.855365,1,1,1.34642,0,12,12,18,1,Stimuli/testStimuliCube/6u_s_22_s.png,Stimuli/testStimuliCube/6u_s_22_s.png,0,9,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.943785,9,1,0.78844,0,13,13,9,1,Stimuli/testStimuliCube/6u_s_23.png,Stimuli/testStimuliCube/6u_d_23.png,1,1,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.78271,1,1,1.005935,0,14,14,23,1,Stimuli/testStimuliCube/6u_s_24_s.png,Stimuli/testStimuliCube/6u_d_24_s.png,1,1,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.74961,9,1,1.187865,0,15,15,13,1,Stimuli/testStimuliCube/6u_s_19_s.png,Stimuli/testStimuliCube/6u_d_19_s.png,1,1,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,1,0,0.731265,1,1,0.81933,0,16,16,12,1,Stimuli/testStimuliCube/6u_s_19_s.png,Stimuli/testStimuliCube/6u_s_19_s.png,0,9,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,9,1,1.075785,9,1,0.585545,0,17,17,2,1,Stimuli/testStimuliCube/6u_s_20.png,Stimuli/testStimuliCube/6u_s_20.png,0,9,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.695885,9,1,0.616235,0,18,18,3,1,Stimuli/testStimuliCube/6u_s_20.png,Stimuli/testStimuliCube/6u_d_20.png,1,1,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.832335,9,1,0.70196,0,19,19,17,1,Stimuli/testStimuliCube/6u_s_21_s.png,Stimuli/testStimuliCube/6u_d_21_s.png,1,1,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.722645,1,1,0.818645,0,20,20,14,1,Stimuli/testStimuliCube/6u_s_20_s.png,Stimuli/testStimuliCube/6u_s_20_s.png,0,9,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.739565,1,1,3.06121,0,21,21,10,1,Stimuli/testStimuliCube/6u_s_24.png,Stimuli/testStimuliCube/6u_s_24.png,0,9,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1.180415,1,1,0.751815,0,22,22,11,1,Stimuli/testStimuliCube/6u_s_24.png,Stimuli/testStimuliCube/6u_d_24.png,1,1,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,9,1,1.0388,9,1,0.549395,0,23,23,4,1,Stimuli/testStimuliCube/6u_s_21.png,Stimuli/testStimuliCube/6u_s_21.png,0,9,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,,,,,,,,,,,,,,,,0,3,3,3,1,Stimuli/trialListCubes4.xlsx,Instructions/instr_19.png,Progress: 48 of 192 trials completed
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.885385,9,1,0.877935,0,0,0,5,1,Stimuli/testStimuliSquare/6u_s_9_2D.png,Stimuli/testStimuliSquare/6u_d_9_2D.png,1,1,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.806205,1,1,0.74284,0,1,1,6,1,Stimuli/testStimuliSquare/6u_s_10_2D.png,Stimuli/testStimuliSquare/6u_s_10_2D.png,0,9,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.7793,9,1,0.80054,0,2,2,20,1,Stimuli/testStimuliSquare/6u_s_11_s_2D.png,Stimuli/testStimuliSquare/6u_s_11_s_2D.png,0,9,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.696075,1,1,0.73975,0,3,3,10,1,Stimuli/testStimuliSquare/6u_s_12_2D.png,Stimuli/testStimuliSquare/6u_s_12_2D.png,0,9,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,9,0,0.632725,9,1,0.653825,0,4,4,3,1,Stimuli/testStimuliSquare/6u_s_8_2D.png,Stimuli/testStimuliSquare/6u_d_8_2D.png,1,1,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,1,1,0.77788,1,1,0.8246,0,5,5,21,1,Stimuli/testStimuliSquare/6u_s_11_s_2D.png,Stimuli/testStimuliSquare/6u_d_11_s_2D.png,1,1,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,9,1,0.739905,1,1,0.727595,0,6,6,4,1,Stimuli/testStimuliSquare/6u_s_9_2D.png,Stimuli/testStimuliSquare/6u_s_9_2D.png,0,9,,,,,,,,
,,,,,,,19,female,A,2020-05-01_15h12.31.935,Remembering_Displays,2020.1.2,MacIntel,60,9,0,0.632885,1,1,0.542685,0,7,7,1,1,Stimuli/testStimuliSquare/6u_s_7_2D.png,Stimuli/testStimuliSquare/6u_d_7_2D.png,1,1,,,,,,,,
