instr_Loop.thisRepN,instr_Loop.thisTrialN,instr_Loop.thisN,instr_Loop.thisIndex,instr_Loop.ran,instructionImage,time,age,sex (female/male),order,date,expName,psychopyVersion,OS,frameRate,struc_judge_respond.keys,struc_judge_respond.corr,dual_respond.keys,dual_respond.corr,dual_respond.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,stim1,stim2,isAnyChange,corrAns,struc_judge_respond.rt,selectBlock.thisRepN,selectBlock.thisTrialN,selectBlock.thisN,selectBlock.thisIndex,selectBlock.ran,condsFile,condsImage,remaining
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,9,1,0.822955,0,2,2,11,1,Stimuli/testStimuliSquare/6u_s_12_2D.png,Stimuli/testStimuliSquare/6u_d_12_2D.png,1,1,0.95847,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,1,9,1,0.668645,0,3,3,2,1,Stimuli/testStimuliSquare/6u_s_8_2D.png,Stimuli/testStimuliSquare/6u_s_8_2D.png,0,9,0.725655,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1,1,0.96809,0,4,4,3,1,Stimuli/testStimuliSquare/6u_s_8_2D.png,Stimuli/testStimuliSquare/6u_d_8_2D.png,1,1,0.780895,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,9,1,1.986635,0,5,5,1,1,Stimuli/testStimuliSquare/6u_s_7_2D.png,Stimuli/testStimuliSquare/6u_d_7_2D.png,1,1,0.91422,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,1,9,1,0.859305,0,6,6,14,1,Stimuli/testStimuliSquare/6u_s_8_s_2D.png,Stimuli/testStimuliSquare/6u_s_8_s_2D.png,0,9,0.96086,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1,1,0.95054,0,7,7,15,1,Stimuli/testStimuliSquare/6u_s_8_s_2D.png,Stimuli/testStimuliSquare/6u_d_8_s_2D.png,1,1,0.780655,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,9,1,0.77748,0,8,8,5,1,Stimuli/testStimuliSquare/6u_s_9_2D.png,Stimuli/testStimuliSquare/6u_d_9_2D.png,1,1,0.681295,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,1,9,1,1.290285,0,9,9,16,1,Stimuli/testStimuliSquare/6u_s_9_s_2D.png,Stimuli/testStimuliSquare/6u_s_9_s_2D.png,0,9,1.22925,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,1,1,1,0.835935,0,10,10,10,1,Stimuli/testStimuliSquare/6u_s_12_2D.png,Stimuli/testStimuliSquare/6u_s_12_2D.png,0,9,0.93765,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,,0,9,0,2.57435,0,11,11,0,1,Stimuli/testStimuliSquare/6u_s_7_2D.png,Stimuli/testStimuliSquare/6u_s_7_2D.png,0,9,,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,0,9,0,1.335235,0,12,12,17,1,Stimuli/testStimuliSquare/6u_s_9_s_2D.png,Stimuli/testStimuliSquare/6u_d_9_s_2D.png,1,1,0.96674,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,9,1,1.40266,0,13,13,19,1,Stimuli/testStimuliSquare/6u_s_10_s_2D.png,Stimuli/testStimuliSquare/6u_d_10_s_2D.png,1,1,1.27943,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,9,1,1.271805,0,14,14,9,1,Stimuli/testStimuliSquare/6u_s_11_2D.png,Stimuli/testStimuliSquare/6u_d_11_2D.png,1,1,1.011205,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1,1,0.970645,0,15,15,23,1,Stimuli/testStimuliSquare/6u_s_12_s_2D.png,Stimuli/testStimuliSquare/6u_d_12_s_2D.png,1,1,0.946755,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1,1,1.887645,0,16,16,7,1,Stimuli/testStimuliSquare/6u_s_10_2D.png,Stimuli/testStimuliSquare/6u_d_10_2D.png,1,1,0.80314,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,1,1,1,0,2.211375,0,17,17,13,1,Stimuli/testStimuliSquare/6u_s_7_s_2D.png,Stimuli/testStimuliSquare/6u_d_7_s_2D.png,1,1,0.815735,,,,,,,,
,,,,,,,21,female,A,2020-04-26_22h42.10.058,Remembering_Displays,2020.1.2,MacIntel,60,9,1,9,1,1.11212,0,18,18,4,1,Stimuli/testStimuliSquare/6u_s_9_2D.png,Stimuli/testStimuliSquare/6u_s_9_2D.png,0,9,1.097205,,,,,,,,
